clues,nombre,domicilio,codigoPostal,numeroLongitud,numeroLatitud,entidad,estado,institucion,jurisdiccion,localidad,municipio,tipologia
CSIMO000672,LÁZARO CÁRDENAS,DOMICILIO CONOCIDO,29966,-93.791389,16.604167,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Lázaro Cárdenas,CINTALAPA,UNIDAD MEDICA
CSIMO000684,TEHUACAN,DOMICILIO CONOCIDO,30427,-93.961667,16.593889,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Tehuacan,CINTALAPA,UNIDAD MEDICA
CSIMO000696,TRIUNFO DE MADERO,DOMICILIO CONOCIDO,30403,-93.771667,16.770833,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Triunfo de Madero,CINTALAPA,UNIDAD MEDICA
CSIMO000701,VILLAMORELOS,DOMICILIO CONOCIDO,30400,-93.927778,16.48,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Villamorelos,CINTALAPA,UNIDAD MEDICA
CSIMO000725,VENUSTIANO CARRANZA,DOMICILIO CONOCIDO,30400,-93.671667,16.8525,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Venustiano Carranza,CINTALAPA,UNIDAD MEDICA
CSIMS000041,UMF 24 CINTALAPA,CUARTA ORIENTE ESQUINA DÉCIMO TERCERA SUR,30400,-93.7197,16.6881,CHIAPAS,EN OPERACIÓN,IMSS,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,UNIDAD MEDICA
CSIST000053,CINTALAPA DE FIGUEROA,TERCERA SUR,99999,-93.7142,16.6944,CHIAPAS,EN OPERACIÓN,ISSSTE,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,UNIDAD MEDICA
CSSME000013,COORDINACION MEDICA CINTALAPA,"9a Sur Esq. 2a Poniente, Barrio de Guadalupe",30400,-93.723845,16.690745,CHIAPAS,EN OPERACIÓN,ESTATAL,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,NO ESPECIFICADO
CSSSA000861,FCO. I. MADERO,NO DISPONIBLE,30400,-93.755556,16.8025,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Francisco I. Madero,CINTALAPA,CENTRO DE SALUD
CSSSA000885,CS. 1 NUEVA TENOCHTITLAN,NUEVA TENOCHTITLAN,30400,-94.080556,16.476389,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Nueva Tenochtitlán (Rizo de Oro),CINTALAPA,CENTRO DE SALUD
CSSSA000890,POMPOSO CASTELLANOS,AVENIDA SEGUNDA NORTE PONIENTE ENTRE CALLE CENTRAL NORTE,30400,-93.867222,16.590278,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Pomposo Castellanos,CINTALAPA,CENTRO DE SALUD
CSSSA000914,VISTAHERMOSA,PENDIENTE,30400,-93.961944,16.518611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Vista Hermosa,CINTALAPA,CENTRO DE SALUD
CSSSA000972,EMILIANO ZAPATA,NO DISPONIBLE,30400,-93.684722,16.866667,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Emiliano Zapata,CINTALAPA,CENTRO DE SALUD
CSSSA000844,CINTALAPA,Calle 4a Pte. No. 420 esq. 5a Sur Pte.,30400,-93.725445,16.694523,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,CENTRO DE SALUD
CSSSA000832,H. B. C. DE CINTALAPA DE FIGUEROA,"Boulevard Rodolfo Figueroa S/N, esq. Miguel Hidalgo 8 de Enero, Urbana Sur",30400,-93.730766,16.681947,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,HOSPITAL
CSSSA017866,CARAVANA TIPO 2 LA FLORIDA,CASA EJIDAL,99999,-93.638839,16.802392,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,La Florida,CINTALAPA,CARAVANA
CSSSA000931,PIMIENTA BERLÍN,CUARTA PONIENTE Y QUINTA SUR,30400,-93.688611,16.768611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Pimienta Berlín,CINTALAPA,CARAVANA
CSSSA000902,ELOY BORRAS AGUILAR,DOMICILIO CONOCIDO,99999,-93.941389,16.633611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Ingeniero Eloy Borras Aguilar,CINTALAPA,CARAVANA
CSSSA017941,EL TEPEYAC,DOMICILIO CONOCIDO,30400,-93.831944,16.642222,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,El Tepeyac,CINTALAPA,CARAVANA
CSSSA019085,CLÍNICA DE LA MUJER CINTALAPA,CALLEJÓN SAN JACINTO ESQUINA AVENIDA BUGAMBILIA,30400,-93.7098,16.693,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,CLINICA DE ESPECIALIDADES
CSSSA000926,UNIDAD MODELO,ENTRADA A LA LOCALIDAD UNIDAD MODELO,30400,-93.679722,16.903056,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Unidad Modelo,CINTALAPA,CASA DE SALUD
CSSSA000943,SAN MARCOS,ANTES DE LA ESCUELA GERARDO RAMOS,30400,-93.854722,16.509167,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,San Marcos,CINTALAPA,CASA DE SALUD
CSSSA000955,GUAMÚCHIL,NO DISPONIBLE,30400,-93.982778,16.51,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,El Guamúchil,CINTALAPA,CASA DE SALUD
CSSMP001160,FARMACIAS SIMILARES,SIN DOMICILIO,30400,,,CHIAPAS,EN OPERACIÓN,SMP,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,NO ESPECIFICADO
CSSMP001175,FARMACIAS SIMILARES,SIN DOMICILIO,30400,,,CHIAPAS,EN OPERACIÓN,SMP,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,NO ESPECIFICADO
CSSMP001184,FARMACIAS SIMILARES,SIN DOMICILIO,30400,,,CHIAPAS,EN OPERACIÓN,SMP,TUXTLA GUTIÉRREZ,Cintalapa de Figueroa,CINTALAPA,NO ESPECIFICADO
CSIMO000730,COAPILLA,DOMICILIO CONOCIDO,29650,-93.159167,17.130556,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Coapilla,COAPILLA,UNIDAD MEDICA
CSSSA001001,LIC. BUENAVISTA MATA SANOS,NO DISPONIBLE,29650,-93.066944,17.107778,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Buenavista (Matasanos),COAPILLA,CENTRO DE SALUD
CSSSA012703,COAPILLA,3A. ORIENTE SUR,29650,960933,170750,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Coapilla,COAPILLA,CENTRO DE SALUD - SERVICIOS AMPLIADOS
CSSSA000996,RIBERA LLANO GRANDE,NO DISPONIBLE,29650,-93.125278,17.102778,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Llano Grande,COAPILLA,CASA DE SALUD
CSSSA001013,JOSÉ MARÍA MORELOS Y PAVÓN,NO DISPONIBLE,29650,-93.1325,17.073611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,José María Morelos y Pavón,COAPILLA,CASA DE SALUD
CSSSA001025,MORELIA,NO DISPONIBLE,29650,-93.143889,17.093611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Morelia,COAPILLA,CASA DE SALUD
CSIMO000865,ÁNGEL ALBINO CORZO (GUADALUPE),DOMICILIO CONOCIDO,30910,-93.275,17.126389,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Ángel Albino Corzo (Guadalupe),COPAINALÁ,UNIDAD MEDICA
CSIMO000870,IGNACIO ZARAGOZA,DOMICILIO CONOCIDO,30135,-93.350556,17.057778,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Ignacio Zaragoza,COPAINALÁ,UNIDAD MEDICA
CSIMO000882,LA NUEVA,DOMICILIO CONOCIDO,29626,-93.165833,17.049444,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,La Nueva,COPAINALÁ,UNIDAD MEDICA
CSIST000070,COPAINALA,TERESA,99999,-93.2129,17.0959,CHIAPAS,EN OPERACIÓN,ISSSTE,TUXTLA GUTIÉRREZ,Copainalá,COPAINALÁ,UNIDAD MEDICA
CSSSA001334,CAMPECHE,NO DISPONIBLE,29620,-93.274444,17.181389,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Campeche,COPAINALÁ,CASA DE SALUD
CSSSA001346,FRANCISCO SARABIA,NO DISPONIBLE,29620,-93.2364,17.1347,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Francisco Sarabia,COPAINALÁ,CASA DE SALUD
CSSSA001351,MIGUEL HIDALGO (ZACALAPA),NO DISPONIBLE,29620,-93.210833,17.131944,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Miguel Hidalgo (Zacalapa),COPAINALÁ,CASA DE SALUD
CSSSA001363,AGUSTÍN DE ITURBIDE,NO DISPONIBLE,29620,-93.250556,17.173333,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Agustín de Iturbide,COPAINALÁ,CASA DE SALUD
CSSSA001375,BENITO JUÁREZ,NO DISPONIBLE,29620,-93.2481,17.1401,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Benito Juárez,COPAINALÁ,CASA DE SALUD
CSSSA009075,EL ROSARIO,NO DISPONIBLE,29690,-93.244167,17.089167,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,El Rosario,COPAINALÁ,CASA DE SALUD
CSSSA001380,LÁZARO CÁRDENAS,NO DISPONIBLE,29620,-93.199722,17.175833,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Lázaro Cárdenas,COPAINALÁ,CASA DE SALUD
CSSSA001322,COPAINALÁ,SEGUNDA NORTE PONIENTE,29620,-93.2125,17.0945,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Copainalá,COPAINALÁ,CENTRO DE SALUD
CSIMO001145,GALECIO NARCÍA,DOMICILIO CONOCIDO,29178,-93.02,16.586111,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Galecio Narcía,CHIAPA DE CORZO,UNIDAD MEDICA
CSIMO001150,JULIÁN GRAJALES,DOMICILIO CONOCIDO,29180,-92.967778,16.485833,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Julián Grajales,CHIAPA DE CORZO,UNIDAD MEDICA
CSIMO001162,NICOLÁS BRAVO,DOMICILIO CONOCIDO,30575,-92.991667,16.509444,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Nicolás Bravo,CHIAPA DE CORZO,UNIDAD MEDICA
CSIMO001174,EL PALMAR (SAN GABRIEL),DOMICILIO CONOCIDO,29166,-93.016389,16.845556,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,El Palmar (San Gabriel),CHIAPA DE CORZO,UNIDAD MEDICA
CSIMO001186,NUEVO CARMEN TONAPAC,DOMICILIO CONOCIDO,29960,-92.955556,16.696667,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Nuevo Carmen Tonapac,CHIAPA DE CORZO,UNIDAD MEDICA
CSIMO001191,SALVADOR URBINA,DOMICILIO CONOCIDO,29169,-93.002778,16.635556,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Salvador Urbina,CHIAPA DE CORZO,UNIDAD MEDICA
CSIST000082,CHIAPA DE CORZO,MEXICANIDAD CHIAPANECA,99999,-93.0098,16.7027,CHIAPAS,EN OPERACIÓN,ISSSTE,TUXTLA GUTIÉRREZ,Chiapa de Corzo,CHIAPA DE CORZO,UNIDAD MEDICA
CSSSA008672,PEDREGAL SAN ÁNGEL,NO DISPONIBLE,29160,-93.045,16.743,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Chiapa de Corzo,CHIAPA DE CORZO,CENTRO DE SALUD
CSSSA001631,RIBERA EL AMATAL,NO DISPONIBLE,29160,-92.996667,16.636111,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Amatal,CHIAPA DE CORZO,CENTRO DE SALUD
CSSSA009092,FRANCISCO SARABIA,NO DISPONIBLE,29160,-93.004722,16.553333,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Francisco Sarabia,CHIAPA DE CORZO,CENTRO DE SALUD
CSSSA001672,NARCISO MENDOZA,NO DISPONIBLE,29170,-92.988611,16.58,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Narciso Mendoza,CHIAPA DE CORZO,CENTRO DE SALUD
CSSSA009080,NUEVA PALESTINA,NO DISPONIBLE,29160,-92.973056,16.662778,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Nueva Palestina (Nandayacuti),CHIAPA DE CORZO,CENTRO DE SALUD
CSSSA001626,CHIAPA DE CORZO,NO DISPONIBLE,29160,-93.045556,16.745833,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Chiapa de Corzo,CHIAPA DE CORZO,CENTRO DE SALUD
CSSSA001684,PASO ACHIOTE,NO DISPONIBLE,29160,-92.917778,16.665278,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Paso Achiote,CHIAPA DE CORZO,CARAVANA
CSSSA008684,CAHUARE,NO DISPONIBLE,29160,-93.0454,16.744,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Chiapa de Corzo,CHIAPA DE CORZO,CASA DE SALUD
CSSSA001643,RIBERA DE CUPÍA,NO DISPONIBLE,29160,-93.016944,16.668611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Ribera Cupía (La Mesa),CHIAPA DE CORZO,CASA DE SALUD
CSSSA001655,JUAN DE GRIJALVA,NO DISPONIBLE,29160,-92.9775,16.728056,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Juan del Grijalva,CHIAPA DE CORZO,CASA DE SALUD
CSSSA001660,MIGUEL HIDALGO,NO DISPONIBLE,29160,-92.969722,16.842222,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Miguel Hidalgo,CHIAPA DE CORZO,CASA DE SALUD
CSSSA001696,VENUSTIANO CARRANZA,NO DISPONIBLE,29160,-93.0038,16.8946,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Venustiano Carranza,CHIAPA DE CORZO,CASA DE SALUD
CSSSA001701,DR. MANUEL VELASCO SUÁREZ,NO DISPONIBLE,29160,-92.886111,16.326667,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Doctor Manuel Velasco Suárez,CHIAPA DE CORZO,CASA DE SALUD
CSSMP001244,FARMACIAS SIMILARES,SIN DOMICILIO,29160,,,CHIAPAS,EN OPERACIÓN,SMP,TUXTLA GUTIÉRREZ,Chiapa de Corzo,CHIAPA DE CORZO,NO ESPECIFICADO
CSIMO001203,CHIAPILLA,DOMICILIO CONOCIDO,29390,-92.72,16.568889,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Chiapilla,CHIAPILLA,UNIDAD MEDICA
CSSSA009121,CHIAPILLA,NO DISPONIBLE,29360,-92.7215,16.5683,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Chiapilla,CHIAPILLA,CENTRO DE SALUD
CSIMO001215,CHICOASÉN,DOMICILIO CONOCIDO,29640,-93.105,16.966111,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Chicoasén,CHICOASÉN,UNIDAD MEDICA
CSIMS000065,UMF 21 CHICOASEN,CARRETERA TUXTLA / CHICOASEN KM. 33,20640,-93.1052,16.9646,CHIAPAS,EN OPERACIÓN,IMSS,TUXTLA GUTIÉRREZ,Chicoasén,CHICOASÉN,UNIDAD MEDICA
CSSSA002273,SAN JOSÉ MASPAC,NO DISPONIBLE,29560,-93.3108,17.2964,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,San José Maspac,FRANCISCO LEÓN,CENTRO DE SALUD
CSSSA019143,CENTRO DE SALUD MICROREGIONAL SAN MIGUEL LA SARDINA,FRENTE A LA CASA EJIDAL,99999,-93.3528,17.2946,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,San Miguel la Sardina,FRANCISCO LEÓN,CENTRO DE SALUD
CSSSA002290,VICENTE GUERRERO,NO DISPONIBLE,29560,-93.208889,17.290556,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Vicente Guerrero,FRANCISCO LEÓN,CENTRO DE SALUD
CSSSA019633,CENTRO DE SALUD MICROREGIONAL RIVERA EL VIEJO CARMEN,A UN LADO DE LA TELESECUNDARIA,29560,-93.2779,17.2872,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Rivera el Viejo Carmen,FRANCISCO LEÓN,CENTRO DE SALUD
CSSSA018286,CARAVANA TIPO 0 RIO NEGRO,FRENTE A LA CASA EJIDAL,99999,-93.271206,17.240111,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Río Negro,FRANCISCO LEÓN,CARAVANA
CSIMO001886,AZTLÁN (RANCHO NUEVO),DOMICILIO CONOCIDO,29914,-92.923611,16.769444,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Aztlán (Rancho Nuevo),IXTAPA,UNIDAD MEDICA
CSIMO001891,CHIGTÓN,DOMICILIO CONOCIDO,29347,-92.873889,16.842778,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Chigtón,IXTAPA,UNIDAD MEDICA
CSIMO001903,EL NOPAL,DOMICILIO CONOCIDO,29349,-92.845278,16.911111,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,El Nopal,IXTAPA,UNIDAD MEDICA
CSIMO001915,EL ZAPOTILLO,DOMICILIO CONOCIDO,29348,-92.948889,16.836667,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,El Zapotillo,IXTAPA,UNIDAD MEDICA
CSSSA002862,IXTAPA,AVENIDACENTRAL ORIENTE,29340,-92.904444,16.802778,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Ixtapa,IXTAPA,CENTRO DE SALUD
CSSSA002874,CARLOS A. VIDAL,UN COSTADO DE LA PRIMARIA MIGUEL HIDALGO Y COSTILLA,29340,-92.855,16.708611,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Carlos A. Vidal,IXTAPA,CASA DE SALUD
CSSSA002886,CONCEPCIÓN,NO DISPONIBLE,29340,-92.965556,16.809444,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Concepción,IXTAPA,CASA DE SALUD
CSSSA002891,EJIDO NUEVO SAN MIGUEL MITONTIC,NO DISPONIBLE,29340,-92.9454,16.7972,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Nuevo San Miguel Mitontic (Punta de Piedad),IXTAPA,CASA DE SALUD
CSSSA002903,MAZANILHO,NO DISPONIBLE,29340,-92.9249,16.8672,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Mazanilho,IXTAPA,CASA DE SALUD
CSIMO001944,JIQUIPILAS,DOMICILIO CONOCIDO,30430,-93.646667,16.668056,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Jiquipilas,JIQUIPILAS,UNIDAD MEDICA
CSIMO001956,CUAUHTÉMOC,DOMICILIO CONOCIDO,30432,-93.716111,16.55,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Cuauhtémoc,JIQUIPILAS,UNIDAD MEDICA
CSIMO001961,JULIÁN GRAJALES,DOMICILIO CONOCIDO,30440,-93.714167,16.429167,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Julián Grajales,JIQUIPILAS,UNIDAD MEDICA
CSIMO001973,NUEVA PALESTINA,DOMICILIO CONOCIDO,30445,-93.633611,16.492778,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Nueva Palestina,JIQUIPILAS,UNIDAD MEDICA
